City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,tyukhtet,56.5389,89.3011,-0.24,85,100,3.71,RU,1730243232
166,nishinoomote,30.7333,131.0,23.71,80,100,8.66,JP,1730243233
167,tolanaro,-25.0319,46.9987,22.85,90,82,5.94,MG,1730243234
168,broken hill,-31.95,141.4333,23.09,21,0,0.74,AU,1730242951
169,bada,51.392,109.8717,-0.11,87,91,1.4,RU,1730243236
170,rongelap,11.1635,166.8941,28.68,78,67,6.55,MH,1730243238
171,sakchu-up,40.3894,125.0467,10.26,91,8,1.26,KP,1730243239
172,atafu village,-8.5421,-172.5159,27.78,78,25,5.64,TK,1730243241
173,rio de janeiro,-22.9028,-43.2075,23.12,81,75,4.63,BR,1730242975
174,arraial do cabo,-22.9661,-42.0278,20.98,100,100,0.0,BR,1730243001
175,turpan,42.9333,89.1667,11.34,52,7,0.89,CN,1730243245
176,pangai,-19.8,-174.35,24.55,81,72,6.89,TO,1730243246
177,prado,-17.3411,-39.2208,24.77,83,97,3.69,BR,1730243247
178,mammoth lakes,37.6485,-118.9721,3.48,50,40,4.12,US,1730243249
179,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.03,GF,1730243250
180,east ballina,-28.8667,153.5833,21.04,62,100,1.82,AU,1730243251
181,east london,-33.0153,27.9116,17.34,71,99,12.31,ZA,1730243252
182,saint croix,17.7397,-64.7388,28.25,79,20,4.12,VI,1730243254
183,zag,46.9441,99.165,-8.96,92,71,1.41,MN,1730243255
184,sitangkai,4.6628,119.3928,27.91,76,100,1.41,PH,1730243256
185,north battleford,52.7834,-108.2847,2.98,44,6,3.43,CA,1730243257
186,mariental,-24.6333,17.9667,17.38,36,0,5.13,NA,1730243259
187,yaren,-0.5472,166.916,28.4,73,12,2.94,NR,1730243260
188,bulgan,48.8125,103.5347,2.33,66,100,2.26,MN,1730243261
189,coquimbo,-29.9533,-71.3436,15.55,74,20,4.63,CL,1730242996
190,susuman,62.7833,148.1667,-16.21,93,100,2.07,RU,1730243264
191,san luis,-33.295,-66.3356,27.38,25,0,4.73,AR,1730242977
192,geraldton,-28.7667,114.6,18.23,88,20,4.63,AU,1730243266
